JD_TBD,MET,segmentID,segmentType,configID,propaMode,forcesID,atmosModel,activeSC,x,y,z,vx,vy,vz,EarthOESMA,EarthOEeccentricity,EarthOERAAN,EarthOEargPeriapsis,EarthOEinclination,EarthOEtrueAnomaly,EarthOEmeanAnomaly
2459945.5090183327,710.0,0,0,0,1,0,nrlmsise00,0,2456249.6680687265,-4411745.640172365,4816406.904740186,-3731.01077896182,3787.3407032193613,5371.862853318309,6978139.907792717,1.3213733360244255e-08,306.61480219479836,180.0999988562789,97.8,224.0595808096276,224.0595818625991
2459945.5091340733,720.0,0,0,0,1,0,nrlmsise00,0,2418796.225209972,-4373614.21489099,4869841.990040694,-3759.6045676708045,3838.869802417066,5315.049735997293,6978139.907792721,1.3213733444307929e-08,306.6148021947983,180.09999900527598,97.79999999999998,224.68013812382114,224.68013918851577
2459945.509249814,730.0,0,0,0,1,0,nrlmsise00,0,2381059.0467822254,-4334969.745184921,4922705.821188602,-3787.757338029686,3889.9485851065565,5257.613139655156,6978139.907792717,1.3213733861882169e-08,306.6148021947983,180.1000009217851,97.8,225.3006936706275,225.3006947469204
2459945.509365555,740.0,0,0,0,1,0,nrlmsise00,0,2343042.5595244886,-4295816.764222397,4974992.197020915,-3815.4657875929497,3940.5710595190444,5199.559801859874,6978139.907792717,1.3213733481807376e-08,306.6148021947983,180.10000002485899,97.8,225.9212520309954,225.9212531187603
2459945.5094812955,750.0,0,0,0,1,0,nrlmsise00,0,2304751.2229399346,-4256159.864822295,5026694.98411272,-3842.726666035882,3990.73128741272,5140.896532525938,6978139.907792717,1.3213733641622366e-08,306.6148021947983,180.09999863972627,97.8,226.5418108796975,226.54181197880683
2459945.509597036,760.0,0,0,0,1,0,nrlmsise00,0,2266189.528772789,-4216003.698915368,5077808.1174966525,-3869.5367755358443,4040.4233847693386,5081.630213115532,6978139.907792717,1.3213733480421994e-08,306.6148021947983,180.09999924327204,97.8,227.16236773985003,227.1623688501748
2459945.509712777,770.0,0,0,0,1,0,nrlmsise00,0,2227362.0004814286,-4175352.976998557,5128325.601374349,-3895.8929711473966,4089.6415224844395,5021.7677958313,6978139.907792717,1.3213733408185883e-08,306.61480219479836,180.1000005075851,97.8,227.7829239393655,227.7829250607755
2459945.5098285177,780.0,0,0,0,1,0,nrlmsise00,0,2188273.192707757,-4134212.4675824265,5178241.50981978,-3921.79216117121,4138.379927051128,4961.316302800824,6978139.907792717,1.321373355247391e-08,306.61480219479836,180.10000016109288,97.8,228.40348174981781,228.40348288218152
2459945.5099442587,790.0,0,0,0,1,0,nrlmsise00,0,2148927.690742928,-4092586.9966317965,5227549.9874743875,-3947.2313075167385,4186.632881237332,4900.282825252901,6978139.907792717,1.3213733524142632e-08,306.6148021947983,180.099998715884,97.8,229.02404065911955,229.02404180230417
2459945.5100599993,800.0,0,0,0,1,0,nrlmsise00,0,2109330.1099894694,-4050481.4469996374,5276245.250233947,-3972.2074260586005,4234.394724756458,4838.674522685705,6978139.907792717,1.3213733468923712e-08,306.6148021947983,180.09999888877272,97.8,229.6445979504579,229.64459910432927
2459945.51017574,810.0,0,0,0,1,0,nrlmsise00,0,2069485.0954198756,-4007900.757854289,5324321.5859270645,-3996.717586986629,4281.659854931371,4776.498622026948,6978139.907792717,1.321373361548938e-08,306.6148021947983,180.09999884598167,97.8,230.2651554576113,230.26515662203414
2459945.510291481,820.0,0,0,0,1,0,nrlmsise00,0,2029397.3210317313,-3964849.924100072,5371773.354985243,-4020.7589151495536,4328.422727351611,4713.762416786135,6978139.907792717,1.3213733518721735e-08,306.6148021947983,180.09999927530768,97.8,230.88571249278422,230.88571366762181
2459945.5104072215,830.0,0,0,0,1,0,nrlmsise00,0,1989071.4892994328,-3921333.995791368,5418594.991104426,-4044.328590392266,4374.677856523777,4650.473266198993,6978139.907792717,1.321373353321378e-08,306.6148021947983,180.09999942364243,97.8,231.50626980908626,231.50627099420083
2459945.510522962,840.0,0,0,0,1,0,nrlmsise00,0,1948512.3306225643,-3877358.0775402216,5464781.001897953,-4067.4238478866396,4420.419816515003,4586.638594364209,6978139.907792717,1.3213733468510024e-08,306.61480219479836,180.09999847086877,97.8,232.12682822663578,232.12682942188835
2459945.510638703,850.0,0,0,0,1,0,nrlmsise00,0,1907724.6027710028,-3832927.3279175493,5510325.969540841,-4090.0419784558535,4465.643241589439,4522.265889372547,6978139.907792721,1.3213733501899319e-08,306.6148021947983,180.09999714748636,97.79999999999998,232.74738701493413,232.74738822018452
2459945.5107544437,860.0,0,0,0,1,0,nrlmsise00,0,1866713.0903268103,-3788046.9588480145,5555224.551405314,-4112.180328892192,4510.342826837678,4457.362702428461,6978139.907792716,1.3213733567382716e-08,306.6148021947983,180.09999839011647,97.8,233.3679432373614,233.36794445246815
2459945.5108701843,870.0,0,0,0,1,0,nrlmsise00,0,1825482.6041229805,-3742722.2349986476,5599471.480687527,-4133.8363022682815,4554.51332879905,4391.936646964307,6978139.907792714,1.3213733841869038e-08,306.6148021947983,180.09999967347517,97.8,233.98849941920264,233.98850064402325
2459945.5109859253,880.0,0,0,0,1,0,nrlmsise00,0,1784037.9806791071,-3696958.473161276,5643061.567025376,-4155.007358241714,4598.149566076697,4325.995397747255,6978139.907792717,1.3213733551419874e-08,306.6148021947983,180.09999829103063,97.8,234.6090582669908,234.6090595013815
2459945.511101666,890.0,0,0,0,1,0,nrlmsise00,0,1742384.081634039,-3650761.0416288404,5685989.697107353,-4175.691013353049,4641.246419945374,4259.546689979002,6978139.9077927135,1.32137340368594e-08,306.6148021947983,180.10000030227144,97.8,235.22961372123842,235.2296149650545
2459945.5112174065,900.0,0,0,0,1,0,nrlmsise00,0,1700525.7931755881,-3604135.359565672,5728250.835272368,-4195.884841317128,4683.798834951906,4192.5983183884,6978139.9077927135,1.3213733673184128e-08,306.61480219479836,180.10000045398786,97.8,235.85017103515625,235.8501722882518
2459945.5113331475,910.0,0,0,0,1,0,nrlmsise00,0,1658468.025467357,-3557086.896371798,5769840.0241004415,-4215.586473307692,4725.801819508208,4125.158136317098,6978139.9077927135,1.3213734114716056e-08,306.6148021947983,180.1000008533828,97.8,236.47072810154268,236.47072936377077
2459945.511448888,920.0,0,0,0,1,0,nrlmsise00,0,1616215.7120727564,-3509621.171041359,5810752.384994244,-4234.793598235257,4767.25044647682,4057.2340547983167,6978139.9077927135,1.321373384847544e-08,306.6148021947983,180.10000000842336,97.8,237.09128641243146,237.09128768364394
2459945.5115646287,930.0,0,0,0,1,0,nrlmsise00,0,1573773.8093762754,-3461743.751515206,5850983.118751369,-4253.503963018209,4808.139853748888,3988.834041628842,6978139.9077927135,1.3213733724658556e-08,306.61480219479836,180.10000004329487,97.8,237.71184384363835,237.7118451236861
2459945.5116803697,940.0,0,0,0,1,0,nrlmsise00,0,1531147.2960020758,-3413460.254027754,5890527.506127306,-4271.715372847108,4848.465244814507,3919.96612043437,6978139.907792716,1.3213733619297094e-08,306.6148021947983,180.09999894681022,97.8,238.3324024063517,238.3324036950846
2459945.5117961103,950.0,0,0,0,1,0,nrlmsise00,0,1488341.172229977,-3364776.3424481777,5929380.908389024,-4289.425691442142,4888.221889325374,3850.6383697283018,6978139.9077927135,1.3213733711107662e-08,306.6148021947983,180.09999975234328,97.8,238.95295906719846,238.95296036446538
2459945.511911851,960.0,0,0,0,1,0,nrlmsise00,0,1445360.4594089026,-3315697.727616009,5967538.767859124,-4306.63284130373,4927.40512364968,3780.8589219640967,6978139.9077927135,1.3213733809051792e-08,306.6148021947983,180.09999902899227,97.8,239.57351725708136,239.57351856273007
2459945.512027592,970.0,0,0,0,1,0,nrlmsise00,0,1402210.1993678508,-3266230.1666712337,6004996.608450464,-4323.334803956217,4966.0103514191715,3710.6359625812993,6978139.907792714,1.3213733652404634e-08,306.6148021947983,180.09999869661803,97.8,240.19407505614083,240.1940763700181
2459945.5121433325,980.0,0,0,0,1,0,nrlmsise00,0,1358895.4538244684,-3216379.462378952,6041750.0361912325,-4339.52962018465,5004.033044068332,3639.9777290453508,6978139.907792714,1.321373374441303e-08,306.6148021947983,180.10000012410552,97.8,240.81463109549262,240.81463241744441
2459945.512259073,990.0,0,0,0,1,0,nrlmsise00,0,1315421.3037912876,-3166151.4624486906,6077794.739740378,-4355.215390264605,5041.468741365594,3568.8925098813,6978139.9077927135,1.3213733616032735e-08,306.6148021947983,180.10000044960105,97.8,241.4351882369914,241.4351895668626
2459945.512374814,1000.0,0,0,0,1,0,nrlmsise00,0,1271792.8489797004,-3115552.0588484365,6113126.490893349,-4370.3902741850325,5078.313051936553,3497.388643701521,6978139.907792714,1.3213733779305109e-08,306.6148021947983,180.09999959471824,97.8,242.05574655902456,242.05574789665926
2459945.5124905547,1010.0,0,0,0,1,0,nrlmsise00,0,1228015.2072017405,-3064587.1871134858,6147741.145078081,-4385.052491864099,5114.561653779089,3425.474518227557,6978139.907792714,1.3213733829598555e-08,306.6148021947983,180.0999992069256,97.8,242.67630441412447,242.67630575936568
2459945.5126062958,1020.0,0,0,0,1,0,nrlmsise00,0,1184093.51376974,-3013262.825650179,6181634.641841172,-4399.200323357997,5150.21029477036,3353.1585693062048,6978139.907792714,1.3213733724671718e-08,306.6148021947983,180.09999901348726,97.8,243.29686207502786,243.29686342771774
2459945.5127220363,1030.0,0,0,0,1,0,nrlmsise00,0,1140032.9208939371,-2961584.995034606,6214803.005324195,-4412.832109062707,5185.254793165592,3280.449279919952,6978139.907792714,1.3213733669574414e-08,306.6148021947983,180.0999984124561,97.8,243.91742014368273,243.91742150366272
2459945.512837777,1040.0,0,0,0,1,0,nrlmsise00,0,1095838.5970780957,-2909559.757306369,6247242.344730083,-4425.946249908673,5219.691038088619,3207.355179191885,6978139.907792714,1.3213733836258504e-08,306.6148021947983,180.0999995156928,97.8,244.5379765082293,244.5379778753398
2459945.512953518,1050.0,0,0,0,1,0,nrlmsise00,0,1051515.7265132181,-2857193.2152574733,6278948.854779533,-4438.54120754838,5253.514990014112,3133.8848413851847,6978139.907792712,1.3213733963515136e-08,306.6148021947983,180.10000015680373,97.8,245.15853333506203,245.15853470914263
2459945.5130692585,1060.0,0,0,0,1,0,nrlmsise00,0,1007069.5084694185,-2804491.5117164464,6309918.81615739,-4450.6155045368105,5286.722681241421,3060.04688489733,6978139.907792712,1.3213733999313529e-08,306.6148021947983,180.1000009336121,97.8,245.77909002635846,245.77909140724802
2459945.513184999,1070.0,0,0,0,1,0,nrlmsise00,0,962505.1566860218,-2751460.828827757,6340148.595948934,-4462.167724504757,5319.310216360017,2985.8499712491193,6978139.9077927135,1.3213733707690556e-08,306.6148021947983,180.09999946633343,97.8,246.39964896190395,246.3996503494405
2459945.51330074,1080.0,0,0,0,1,0,nrlmsise00,0,917827.8987599715,-2698107.3873266196,6369634.648066034,-4473.196512324966,5351.273772706431,2911.302804068636,6978139.907792712,1.3213733916222697e-08,306.6148021947983,180.10000044214678,97.8,247.02020545452012,247.0202068485409
2459945.5134164807,1090.0,0,0,0,1,0,nrlmsise00,0,873042.9755326087,-2644437.4458092772,6398373.513663128,-4483.7005742711,5382.609600812678,2836.414128070276,6978139.9077927135,1.3213733814020445e-08,306.6148021947983,180.1000001165745,97.8,247.64076324868543,247.64076464902686
2459945.5135322213,1100.0,0,0,0,1,0,nrlmsise00,0,828155.6404748975,-2590457.299998839,6426361.821542959,-4493.678678169504,5413.314024846081,2761.1927280289524,6978139.907792714,1.3213733657960717e-08,306.6148021947983,180.09999887094196,97.8,248.2613219630754,248.2613233695733
2459945.5136479624,1110.0,0,0,0,1,0,nrlmsise00,0,783171.1590711698,-2536173.2820067625,6453596.288552026,-4503.129653543734,5443.383443040464,2685.6474277496022,6978139.907792714,1.3213733653504465e-08,306.6148021947983,180.09999862617678,97.8,248.88187967676294,248.88188108925223
2459945.513763703,1120.0,0,0,0,1,0,nrlmsise00,0,738094.8082014613,-2481591.7595900726,6480073.719965719,-4512.052391751871,5472.814328118657,2609.787089032117,6978139.907792714,1.3213733695433205e-08,306.6148021947983,180.0999991979972,97.8,249.50243657403055,249.50243799234556
2459945.5138794435,1130.0,0,0,0,1,0,nrlmsise00,0,692931.8755225093,-2426719.135404392,6505791.009863069,-4520.445846116562,5501.60322770626,2533.6206106318136,6978139.9077927135,1.3213733738479141e-08,306.6148021947983,180.09999884308013,97.8,250.122994398202,250.12299582217642
2459945.5139951846,1140.0,0,0,0,1,0,nrlmsise00,0,647687.6588474865,-2371561.846252884,6530745.141491095,-4528.309032047804,5529.746764736623,2457.156927215569,6978139.907792714,1.3213733762538801e-08,306.6148021947983,180.09999950584432,97.8,250.74355120485927,250.74355263432597
2459945.514110925,1150.0,0,0,0,1,0,nrlmsise00,0,602367.4655245454,-2316126.3623311813,6554933.187618672,-4535.641027158438,5557.241637846989,2380.405008313746,6978139.907792714,1.3213733699986103e-08,306.6148021947983,180.0999994687164,97.8,251.36410871157634,251.36411014636766
2459945.5142266657,1160.0,0,0,0,1,0,nrlmsise00,0,556976.6118142416,-2260419.1864684126,6578352.310879917,-4542.440971372353,5584.084621765763,2303.373857268027,6978139.907792714,1.3213733850260715e-08,306.6148021947983,180.10000020595297,97.8,251.98466544409717,251.98466688404488
